addressLocality,latitude,longitude,price,property-beds,property-baths,property-sqft,Basement,Bath,Exterior,Exterior Features,Features,Fireplace,Heating,Partial Bathroom,Property Tax,Property Type,Roof,Sewer,Square Footage,Type,Parking,Flooring,Parking Features,Fireplace Features
St. John's,47.564228,-52.711355,219900.0,3.0,1.0,1144.0,[],0.0,"[""Vinyl siding""]","[""Vinyl siding""]",[],[],"[""Baseboard heaters"", ""Electric""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Laminate"", ""Carpeted"", ""Other""]",[],[]
St. John's,47.565206,-52.720498,199900.0,3.0,1.0,1288.0,[],0.0,"[""Wood shingles"", ""Vinyl siding""]","[""Wood shingles"", ""Vinyl siding""]",[],[],"[""Electric""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Laminate"", ""Carpeted"", ""Mixed Flooring""]",[],[]
Paradise,47.558032,-52.891018,489900.0,5.0,4.0,2326.0,[],1.0,"[""Vinyl siding""]","[""Vinyl siding""]","[""Detached Garage""]",[],"[""Electric""]",1.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,"[""Detached Garage""]","[""Hardwood"", ""Laminate"", ""Ceramic Tile""]","[""Detached Garage""]",[]
Mount Pearl,47.502623,-52.804908,319900.0,5.0,2.0,2064.0,[],0.0,"[""Vinyl siding""]","[""Vinyl siding""]","[""Detached Garage""]",[],"[""Electric""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,"[""Detached Garage""]","[""Laminate"", ""Other""]","[""Detached Garage""]",[]
St. John's,47.554821,-52.730937,325000.0,4.0,4.0,1871.0,[],1.0,"[""Vinyl siding""]","[""Vinyl siding""]",[],[],"[""Baseboard heaters"", ""Electric""]",1.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Laminate"", ""Ceramic Tile""]",[],[]
St. John's,47.614308,-52.725422,259900.0,2.0,1.0,810.0,[],0.0,"[""Vinyl siding""]","[""Vinyl siding""]",[],[],"[""Baseboard heaters"", ""Electric""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Mixed Flooring""]",[],[]
St. John's,47.495372,-52.79771,559900.0,2.0,2.0,2508.0,[],0.0,"[""Vinyl siding""]","[""Vinyl siding""]","[""Garage""]",[],"[""Baseboard heaters"", ""Electric""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,"[""Garage""]","[""Laminate"", ""Other""]","[""Garage""]",[]
Paradise,47.550681,-52.892709,424900.0,2.0,2.0,1884.0,[],0.0,"[""Vinyl siding""]","[""Vinyl siding""]",[],[],"[""Baseboard heaters"", ""Electric""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Mixed Flooring""]",[],[]
Paradise,47.551099,-52.891441,549900.0,3.0,3.0,2824.0,[],1.0,"[""Vinyl siding""]","[""Vinyl siding""]","[""Attached Garage""]",[],"[""Baseboard heaters"", ""Electric""]",1.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,"[""Attached Garage""]","[""Mixed Flooring""]","[""Attached Garage""]",[]
Mount Pearl,47.517822,-52.786895,379900.0,4.0,4.0,2339.0,[],1.0,"[""Vinyl siding""]","[""Vinyl siding""]",[],Yes,"[""Baseboard heaters"", ""Electric""]",1.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Hardwood"", ""Ceramic Tile"", ""Mixed Flooring""]",[],[]
St. John's,47.566909,-52.721834,219000.0,3.0,1.0,1440.0,[],0.0,"[""Vinyl siding""]","[""Vinyl siding""]",[],[],"[""Electric""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Hardwood"", ""Other"", ""Mixed Flooring""]",[],[]
St. John's,47.558936,-52.750112,329900.0,5.0,2.0,2400.0,[],0.0,"[""Vinyl siding""]","[""Vinyl siding""]",[],[],"[""Oil"", ""Electric""]",0.0,,Single Family,[],"[""Municipal sewage system""]",,Single Family,[],"[""Hardwood"", ""Mixed Flooring""]",[],[]
